reaction,log10_bridging_centrality,log10_betweeness_centrality,clustering_coefficient,log10_degree,cascadeNum,is_essential
ACOAD3f,2.1935721002248636,3.869250533805934,0.6014234875444839,1.7323937598229686,0,0
ACOAD4f,2.1839240970004514,3.8599951147531506,0.6014234875444839,1.7323937598229686,0,0
ACOAD5f,2.234854147255382,3.9101608905217757,0.6014234875444839,1.7323937598229686,0,0
ACOAD6f,2.303654032888404,4.049295358295894,0.5611368142762723,1.7481880270062005,0,0
ACOAD7f,2.2922568586165286,4.037898184024019,0.5611368142762723,1.7481880270062005,0,0
ACOAD8f,2.1946682961137247,3.9202506971431865,0.602846975088968,1.7323937598229686,1,0
ACOATA,2.7555221651036472,4.934096210361369,0.24455089820359283,2.2013971243204513,0,0
ACODA,3.063921354737368,3.3678251863243744,0.1,0.6989700043360189,0,1
ACONIs,2.138237363816942,2.5850259400267968,0.5,0.6989700043360189,0,0
ACONMT,3.1915852893174197,2.563196359267108,0.08333333333333333,0.6020599913279624,0,0
ACONTa,2.919725930622592,3.3351329226453186,0.38461538461538464,0.7781512503836436,0,1
ACONTb,2.5254664728769587,3.064682014432822,0.2777777777777778,0.8450980400142568,0,1
ACOTA,1.996716039707366,3.966659851793945,0.474937343358396,1.845098040014257,1,1
ACPPAT120,2.490391526519989,3.4092077080557752,0.14074074074074075,1.2304489213782739,1,0
ACPPAT140,2.440685887695075,3.359502069230861,0.14074074074074075,1.2304489213782739,1,0
ACPPAT141,2.5208293784993816,3.4396455600351676,0.14074074074074075,1.2304489213782739,1,0
ACPPAT160,2.522487933816322,3.441304115352108,0.14074074074074075,1.2304489213782739,1,0
ACPPAT161,2.4861828586707584,3.4049990402065444,0.14074074074074075,1.2304489213782739,1,0
ACPPAT180,2.765797954142739,3.684614135678525,0.14074074074074075,1.2304489213782739,1,0
ACPPAT181,2.869584162796112,3.788400344331898,0.14074074074074075,1.2304489213782739,1,0
ACPS1,2.791379251234642,4.276055645870214,0.34445701357466063,1.7781512503836436,0,0
ACS,2.549285729810679,4.199990831873185,0.4237392373923739,1.9590413923210936,0,0
ADA,2.399821894231881,2.5977584864428263,0.3,0.6989700043360189,0,0
ADCL,2.06824035986669,3.0760886015596456,0.3713235294117647,1.2304489213782739,0,1
ADCS,2.30534489676097,3.468696815977559,0.44297082228116713,1.4471580313422192,1,1
ADD,3.2110691107684257,3.817804007106375,0.1893939393939394,1.0791812460476249,0,0
ADK3,2.409931043626183,4.531169627481699,0.16084977238239756,1.568201724066995,0,0
ADK4,2.7415455167762093,3.0425755124401905,0.3,0.6020599913279624,0,0
ADMDC,2.9757744581219763,3.2556151547160193,0.08333333333333333,0.6020599913279624,0,0
ADNK1,0,0,0.5,0.3010299956639812,0,0
ADNUC,2.2351655942804944,2.625083053368613,0.3,0.8450980400142568,0,0
ADOCBIK,3.923777217664618,3.5258372089925802,0,0.3010299956639812,0,0
ADOCBLS,3.8522538937030086,4.15472913024117,0.06666666666666667,0.7781512503836436,0,0
ADPRDP,2.8394049623387096,3.0392157659039505,0.5333333333333333,0.7781512503836436,0,0
ADPT,0,0,0.18181818181818182,1.0413926851582251,0,0
ADSK,1.881541793045162,1.9607230390927868,0,0.47712125471966244,0,1
ADSL1r,2.9399987514868173,3.7721316646263214,0.45098039215686275,1.1760912590556813,0,1
ADSL2r,2.8564431937944645,3.81562479602202,0.31543624161073824,1.255272505103306,0,1
ADSS,3.6389134922384567,4.561008603095889,0.14497041420118342,1.2787536009528289,0,1
AGDC,3.303861747069155,3.808016321602617,0.10714285714285714,0.9030899869919435,0,0
AGM3PA,0.7742910495695017,1.1493010975953,0,0.6020599913279624,0,0
AGM3PH,0.8037053548560317,0.8450980400142568,0,0.47712125471966244,0,0
AGM4PA,0,0,0,0.47712125471966244,0,0
AGM4PCP,0,0,0.2,0.7781512503836436,2,0
AGM4PH,0,0,0,0.47712125471966244,2,0
AGMH,2.0238284720492166,2.2456772216655727,0,0.6020599913279624,0,0
AGMHE,2.839582662533289,3.7146439259249893,0.05,0.6989700043360189,0,0
AGMT,3.2415410110338105,3.134802678361886,0.08333333333333333,0.6020599913279624,0,0
AGPAT120,2.7472045782373145,3.7666689084847884,0.15588235294117647,1.2787536009528289,0,0
AGPAT140,2.718183702812551,3.737648033060025,0.15588235294117647,1.2787536009528289,0,0
AGPAT141,2.761211554459505,3.780675884706979,0.15588235294117647,1.2787536009528289,0,0
AGPAT160,2.762929173255516,3.78239350350299,0.15588235294117647,1.2787536009528289,0,1
AGPAT161,2.7437543087517002,3.763218638999174,0.15588235294117647,1.2787536009528289,0,1
AGPAT180,2.818992517378381,3.838456847625855,0.15588235294117647,1.2787536009528289,0,0
AGPAT181,2.815835766169162,3.835300096416636,0.15588235294117647,1.2787536009528289,0,0
AGPR,3.154352689287698,3.087405899657085,0.2,0.6020599913279624,0,1
AHCYSNS,3.627072955658807,4.519993517945924,0.025735294117647058,1.2304489213782739,3,1
AICART,2.838401315996514,4.074974282030126,0.325187969924812,1.380211241711606,0,1
AIRC2,2.8961189832794103,3.0722102423350917,0,0.47712125471966244,1,1
AIRC3,3.4498223692733614,3.0518823606013235,0,0.3010299956639812,0,1
AKGDH,2.3571226359357755,3.6503014524990016,0.3054089709762533,1.8325089127062364,0,0
ALAALAD,0,0,0.5555555555555556,0.6989700043360189,0,0
ALAALAr,2.6758338837613853,3.4150815675548376,0.27358490566037735,1.0413926851582251,1,1
ALAGLUE,4.54431490238393,3.3539832042136384,0,0.3010299956639812,1,0
ALAR,2.9367375056699463,3.9606381367400543,0.22705314009661837,1.3222192947339193,0,1
ALATA_D2,2.715507514424626,3.9353918767205385,0.15517241379310345,1.4471580313422192,0,0
ALATA_L,2.8225328874885385,5.033230494957589,0.21555827553379572,2.0863598306747484,0,0
ALATA_L2,2.8249850829522285,4.044869445248141,0.22666666666666666,1.4471580313422192,0,0
ALATRS,0,0,0.42857142857142855,0.8450980400142568,0,0
ALCD19,0,0,0.4,0.6989700043360189,0,0
ALCD2x,0,0,0.2962962962962963,1.0413926851582251,0,0
ALDD19xr,0,0,0,0,0,0
ALDD2x,1.9906185958770586,1.9221844949232791,0.17272727272727273,1.0413926851582251,0,0
ALDD2y,1.9906185958770586,1.9221844949232791,0.17272727272727273,1.0413926851582251,0,0
ALDD3y,0,0,0.5,0.3010299956639812,0,0
ALDD4,2.5182003393257575,1.404256987018921,0,0.3010299956639812,0,0
ALLK,0,0,0,0,0,0
ALLPI,3.9070887450742955,3.041787318971752,0,0.47712125471966244,0,0
ALLTAMH,3.339004811918418,3.661224106652337,0,0.47712125471966244,3,0
ALLTN,3.8424017397635484,3.666310480707867,0,0.3010299956639812,4,0
ALLULPE,2.30541485142696,3.52543355342882,0.5919282511210763,1.3424226808222062,0,0
ALR2,2.886866575028829,3.0629578340845103,0,0.47712125471966244,1,0
ALR4x,0,0,0,0.3010299956639812,0,0
ALTRH,3.6957880262155345,3.519696767159853,0,0.3010299956639812,0,0
AM3PA,1.9666739980522203,2.438594059086075,0,0.6989700043360189,0,0
AM4PA,0.6334684555795865,1.0314084642516241,0,0.6020599913279624,0,0
AM4PCP,2.6386284982651134,3.00742883739262,0.2,0.7781512503836436,0,0
AMALT1,3.1218344427727867,3.632595166826908,0.38571428571428573,0.9542425094393249,0,0
AMALT2,3.124371160845855,3.776683051507758,0.359375,1.0791812460476249,0,0
AMALT3,3.130847200625087,3.8086840072962334,0.3684210526315789,1.1139433523068367,0,0
AMALT4,3.1680283470616226,3.671008367424991,0.328125,1.0791812460476249,0,0
AMANAPEr,3.2472463806231504,3.0431263979672254,0.2,0.6989700043360189,0,0
AMANK,0.7781512503836436,0.38021124171160603,0,0.3010299956639812,0,0
AMAOTr,2.2775349837946677,4.076201646762936,0.06315789473684211,1.3010299956639813,1,1
AMMQLT8,3.2533104330298985,3.84062398476394,0.00641025641025641,1.1139433523068367,0,0
AMPMS2,3.0672931480856884,3.5307595216326706,0.1,0.7781512503836436,0,1
AMPN,0,0,0.3472222222222222,0.9542425094393249,0,0
AMPTASECG,0,0,0.10897435897435898,1.1139433523068367,0,0
AMPTASEPG,0,0,0.2857142857142857,0.9030899869919435,0,0
ANHMK,3.0788386570598174,2.9819286440517607,0,0.6020599913279624,1,0
ANPRT,3.142247454836335,3.5401874635083725,0.2,0.6989700043360189,3,1
ANS,1.8211742724068272,3.426546921241128,0.24778270509977826,1.6334684555795864,0,1
AOBUTDs,3.1790191277987567,3.634951083448481,0.25,0.6989700043360189,2,0
AOXSr2,3.830990553499538,4.506242638404952,0.12142857142857143,1.3222192947339193,0,1
APCS,3.6161989378064843,3.315168942142503,0,0.47712125471966244,0,0
APG3PAT120,2.774031451818164,2.6993978335212603,0.058333333333333334,1.2041199826559248,0,0
APG3PAT140,2.77403944469419,2.699405826397286,0.058333333333333334,1.2041199826559248,0,0
APG3PAT141,2.774022251085916,2.6993886327890118,0.058333333333333334,1.2041199826559248,0,0
APG3PAT160,2.774022251085916,2.6993886327890118,0.058333333333333334,1.2041199826559248,0,0
APG3PAT161,2.774031451818164,2.6993978335212603,0.058333333333333334,1.2041199826559248,0,0
APG3PAT180,2.773998935295756,2.699365316998852,0.058333333333333334,1.2041199826559248,0,0
APG3PAT181,2.7751941052948257,2.7005604869979214,0.058333333333333334,1.2041199826559248,0,0
APH120,0.9985546190308024,1.088515772083531,0.16666666666666666,0.6020599913279624,0,0
APH140,0.998904997816974,1.088515772083531,0.16666666666666666,0.6020599913279624,0,0
APH141,0.9981932339615592,1.088515772083531,0.16666666666666666,0.6020599913279624,0,0
APH160,0.9981932339615592,1.088515772083531,0.16666666666666666,0.6020599913279624,0,0
APH161,1.1209729155994637,1.1541412788521184,0.16666666666666666,0.6020599913279624,0,0
APH180,2.9587658626385966,3.116553510861828,0.16666666666666666,0.6020599913279624,0,0
APH181,3.331974174881857,3.4230546442291896,0.16666666666666666,0.6020599913279624,0,0
APPLDHr,0,0,0.5,0.3010299956639812,0,0
APRAUR,3.395234055687062,3.395234055687062,0,0.3010299956639812,1,1
ARAI,0,0,0,0,1,0
ARBTNR1,1.4466069149081584,2.5829732540822152,0.7439293598233996,1.4913616938342726,0,0
ARBTNR2,1.5604435500800045,2.1717888766807336,0.015625,1.0791812460476249,0,0
ARBTNR3,1.9223572393235955,2.669700476594989,0.015625,1.0791812460476249,0,0
ARGDC,3.4526949798091104,3.151664984145129,0,0.3010299956639812,1,0
ARGSL,2.2545265815582387,3.8087324501340114,0.30666666666666664,1.255272505103306,3,1
ARGSS,3.551139087751763,2.9948365869844755,0.2,0.6989700043360189,0,1
ARGTRS,0,0,0,0,0,0
ASAD,3.7673448231663436,3.916365755349058,0.125,0.6989700043360189,7,1
ASCBPL,0,0,0,0,0,0
ASNN,1.5521972997681053,3.070285574472443,0.13059701492537312,1.2304489213782739,0,0
ASNS1,1.8551351335897563,3.3409537107178795,0.4409722222222222,1.4771212547196624,0,0
ASNS2,2.497585146835199,2.9438298350817917,0.3333333333333333,0.6989700043360189,0,0
ASNTRS,0,0,0,0.3010299956639812,0,0
ASP1DC,3.0869848802861335,3.2119236168944334,0.3333333333333333,0.6020599913279624,0,1
ASPCT,3.0273662610248406,3.328396256688822,0.19642857142857142,0.9030899869919435,1,1
ASPK,2.4244882594246087,3.998599966595518,0.152317880794702,1.255272505103306,0,1
ASPO3,3.093737872262248,2.8760450824170496,0.14285714285714285,0.7781512503836436,0,0
ASPO4,2.748145389809861,3.372979120060419,0.023255813953488372,1.146128035678238,0,0
ASPO5,2.9437654817304355,3.33940957569239,0.21153846153846154,1.1760912590556813,0,0
ASPO6,2.289665060231163,3.0238248076819305,0.10909090909090909,1.0413926851582251,0,0
ASPT,2.5933163125067833,3.388173125891022,0.29545454545454547,1.0791812460476249,0,0
ASPTA,2.418882420165298,4.852864790224309,0.26962081128747795,1.9822712330395684,0,1
ASPTRS,0,0,0.6666666666666666,0.47712125471966244,0,0
ASR,0,0,0.32857142857142857,0.9542425094393249,0,0
AST,2.078074162475625,3.6046526774693106,0.5407142857142857,1.5797835966168101,1,0
ATHRDHr,2.8870282235605305,3.062769949815128,0.3888888888888889,0.6989700043360189,1,0
ATPHs,0,0,0.5,0.47712125471966244,0,0
ATPPRT,3.2379205663503803,3.5389505620143615,0.3333333333333333,0.6020599913279624,3,1
BETALDHx,0,0,0,0,0,0
BETALDHy,0,0,0,0,0,0
BMOCOS,2.3508010092182197,2.464744361525056,0.25,0.6020599913279624,0,1
BMOGDS1,0.8573324964312685,0.9542425094393249,0.35,0.6989700043360189,0,1
BMOGDS2,0,0,0.5833333333333334,0.6020599913279624,0,1
BPNT,0,0,0,0.47712125471966244,0,1
BTS5,2.540412579629587,3.465764240453435,0.1038961038961039,1.1139433523068367,0,1
BUTCT,3.091482846334731,3.5316723961307317,0.7461300309597523,1.414973347970818,0,0
BWCOGDS1,0.8573324964312685,0.9542425094393249,0.35,0.6989700043360189,0,0
BWCOGDS2,0,0,0.5833333333333334,0.6020599913279624,0,0
BWCOS,2.3508010092182197,2.464744361525056,0.25,0.6020599913279624,0,0
CAT,0,0,0.1,1,0,0
CBIAT,2.623327920665922,3.533151290316834,0.39705882352941174,0.9542425094393249,1,0
CBLAT,1.117385598717854,1.6766936096248666,0.39705882352941174,0.9542425094393249,0,0
CBMD,0,0,0,0,0,0
CBMKr,0,0,0.4444444444444444,0.6989700043360189,0,0
CBPS,1.9720463975249238,3.3941556438842064,0.4160493827160494,1.462397997898956,0,0
CCGS,2.7623033632877685,3.0633333589517497,0,0.3010299956639812,1,0
CDAPPA120,2.7111122486366925,3.155212834198612,0.07142857142857142,0.7781512503836436,0,0
CDAPPA140,2.7011416083928537,3.1452421939547737,0.07142857142857142,0.7781512503836436,0,0
CDAPPA141,2.7130063549074306,3.1571069404693506,0.07142857142857142,0.7781512503836436,0,0
CDAPPA160,2.7129830876255068,3.1570836731874268,0.07142857142857142,0.7781512503836436,0,0
CDAPPA161,2.7088956146280196,3.152996200189939,0.07142857142857142,0.7781512503836436,0,0
CDAPPA180,2.71875183061322,3.16285241617514,0.07142857142857142,0.7781512503836436,0,0
CDAPPA181,2.7166753662984595,3.160775951860379,0.07142857142857142,0.7781512503836436,0,0
CDGR,0,0,0,0,0,0
CDGS,3.3639878297484915,3.3639878297484915,0,0.3010299956639812,2,0
CDPMEK,3.929269696620022,3.5313296879479843,0,0.3010299956639812,1,1
CFAS160E,3.9332873921047127,3.4018084750624573,0.05,0.6989700043360189,0,0
CFAS160G,3.2893446579519554,2.7578657409097,0.05,0.6989700043360189,0,0
CFAS180E,3.928488415801227,3.3970094987589716,0.05,0.6989700043360189,0,0
CFAS180G,3.267795816175467,2.736316899133212,0.05,0.6989700043360189,0,0
CHOLD,0,0.3010299956639812,0,0.47712125471966244,2,0
CHORM,2.7611758131557314,3.363235804483694,0.08333333333333333,0.6020599913279624,2,1
CHORS,3.3275919496142565,4.002403264307395,0.14285714285714285,0.8450980400142568,0,1
CHRPL,2.209643773789069,3.242315599207057,0.3300653594771242,1.255272505103306,0,1
CINNDO,0,0,0,0,1,0
CITL,2.8986484800674517,3.4197698808157724,0.26851851851851855,1.0413926851582251,0,0
CMPN,3.669728955051453,4.823275039765104,0.037815126050420166,1.5440680443502757,0,0
CPGNR1,1.4466069149081584,2.5829732540822152,0.7439293598233996,1.4913616938342726,0,0
CPGNR2,1.5604435500800045,2.1717888766807336,0.015625,1.0791812460476249,0,0
CPGNR3,1.9223572393235955,2.669700476594989,0.015625,1.0791812460476249,0,0
CPH4S,2.5668598681188324,3.7208158058710996,0.14545454545454545,1.0413926851582251,3,0
CPMPS,3.8559555788682363,3.554925583204255,0.3333333333333333,0.6020599913279624,0,1
CPPPGO,3.2997976145863137,3.3841185002863496,0,0.47712125471966244,0,0
CPPPGO2,2.8381418061352286,3.7228233110047935,0.022727272727272728,1,0,0
CRNBTCT,0,0.17609125905568124,0.8333333333333334,0.9030899869919435,0,0
CRNCAL2,2.0599283635308923,3.4608978427565478,0.3782703488372093,1.724275869600789,0,0
CRNCAR,0.2518119729937996,0.6989700043360189,0.68,0.9030899869919435,0,0
CRNCBCT,0.3125571565741178,0.9294189257142927,0.55,1,0,0
CRNCDH,0,0,0.76,0.9030899869919435,0,0
CRNDCAL2,1.9837765880368854,2.761927838420529,0.4499113475177305,1.6812412373755872,0,0
CS,2.4400287173449753,4.0539286939496755,0.526579739217653,1.806179973983887,0,1
